n,m,seed,wmin,wmax,wmean,wstd,avg_deg,bsafe,bsafe_ratio
50,200,12,1,100,50.6,28.4,4.0,18,18.00
50,197,13,3,100,53.5,29.0,3.9,18,6.00
50,196,14,1,100,51.9,29.4,3.9,14,14.00
50,199,15,1,99,46.1,28.9,4.0,23,23.00
50,200,16,4,100,53.6,28.3,4.0,23,5.75
50,199,17,1,100,55.5,28.6,4.0,19,19.00
50,197,18,1,100,55.2,29.3,3.9,33,33.00
50,199,19,2,100,51.9,29.6,4.0,8,4.00
50,200,20,1,100,51.4,28.1,4.0,39,39.00
50,198,21,1,100,51.1,29.6,4.0,14,14.00
50,200,22,2,100,57.5,29.1,4.0,27,13.50
50,197,23,1,100,48.2,30.4,3.9,18,18.00
50,197,24,1,100,45.6,29.7,3.9,18,18.00
50,197,25,1,100,54.5,29.3,3.9,26,26.00
50,198,26,1,100,49.5,28.4,4.0,21,21.00
50,198,27,1,100,52.0,27.9,4.0,18,18.00
50,197,28,3,100,52.6,28.3,3.9,8,2.67
50,199,29,1,100,50.1,30.0,4.0,6,6.00
50,200,30,1,100,49.8,28.4,4.0,30,30.00
50,196,31,2,100,51.2,29.8,3.9,16,8.00
50,199,32,1,99,44.9,28.3,4.0,20,20.00
50,199,33,2,100,46.3,28.2,4.0,9,4.50
50,200,34,1,98,48.3,29.5,4.0,22,22.00
50,197,35,1,99,48.3,29.6,3.9,14,14.00
50,198,36,2,99,51.0,30.7,4.0,14,7.00
50,198,37,1,100,49.6,28.1,4.0,5,5.00
50,199,38,1,100,50.3,27.8,4.0,18,18.00
50,199,39,1,100,51.6,29.8,4.0,9,9.00
50,199,40,1,100,49.7,28.3,4.0,14,14.00
50,196,41,1,100,50.7,31.4,3.9,15,15.00
50,196,42,1,100,47.3,29.4,3.9,12,12.00
50,197,43,1,100,48.7,30.2,3.9,21,21.00
50,197,44,1,100,48.5,28.7,3.9,14,14.00
50,195,45,1,100,48.1,29.7,3.9,14,14.00
50,198,46,1,99,50.1,28.5,4.0,20,20.00
50,199,47,1,100,47.0,29.9,4.0,25,25.00
50,199,48,1,100,47.8,27.7,4.0,35,35.00
50,200,49,1,100,48.0,28.2,4.0,13,13.00
100,399,0,1,100,49.3,29.5,4.0,7,7.00
100,398,1,1,100,50.1,28.8,4.0,19,19.00
100,398,2,1,100,52.6,28.6,4.0,21,21.00
100,398,3,1,99,50.2,28.9,4.0,17,17.00
100,399,4,1,100,51.7,28.5,4.0,8,8.00
100,398,5,1,100,49.4,29.8,4.0,15,15.00
100,399,6,1,100,49.5,27.7,4.0,16,16.00
100,400,7,1,100,50.8,28.5,4.0,18,18.00
100,397,8,1,100,49.9,28.9,4.0,17,17.00
100,397,9,1,100,51.4,28.4,4.0,11,11.00
100,393,10,1,100,49.3,27.9,3.9,21,21.00
100,398,11,1,100,51.1,30.6,4.0,21,21.00
100,399,12,1,100,47.5,28.8,4.0,9,9.00
100,398,13,2,100,55.3,28.6,4.0,15,7.50
100,398,14,1,100,50.2,29.1,4.0,10,10.00
100,398,15,1,100,51.5,29.3,4.0,10,10.00
100,399,16,1,100,52.2,28.4,4.0,17,17.00
100,397,17,1,100,52.5,31.0,4.0,26,26.00
100,397,18,1,100,50.5,29.2,4.0,15,15.00
100,396,19,1,100,51.7,28.3,4.0,6,6.00
100,397,20,1,100,51.4,27.8,4.0,9,9.00
100,399,21,1,100,47.8,28.5,4.0,10,10.00
100,398,22,1,100,53.0,28.3,4.0,7,7.00
100,398,23,1,100,50.4,29.6,4.0,16,16.00
100,399,24,1,100,52.4,28.8,4.0,12,12.00
100,399,25,1,100,48.9,28.1,4.0,11,11.00
100,396,26,1,100,51.6,29.8,4.0,4,4.00
100,399,27,1,100,53.5,28.6,4.0,19,19.00
100,398,28,1,100,51.4,28.1,4.0,15,15.00
100,398,29,1,100,51.1,29.4,4.0,13,13.00
100,398,30,1,100,46.9,30.4,4.0,5,5.00
100,395,31,1,100,49.7,29.2,4.0,17,17.00
100,397,32,1,100,49.3,28.8,4.0,4,4.00
100,396,33,1,100,53.5,28.3,4.0,17,17.00
100,398,34,1,100,49.4,28.0,4.0,7,7.00
100,397,35,1,100,46.5,29.1,4.0,17,17.00
100,399,36,1,100,47.5,29.5,4.0,22,22.00
100,397,37,1,100,49.7,29.1,4.0,28,28.00
100,396,38,1,99,54.5,27.0,4.0,26,26.00
100,396,39,2,100,51.2,29.5,4.0,13,6.50
100,399,40,1,100,50.8,29.4,4.0,11,11.00
100,399,41,1,100,46.8,28.9,4.0,10,10.00
100,397,42,1,100,49.9,30.3,4.0,17,17.00
100,395,43,1,100,48.9,28.8,4.0,18,18.00
100,399,44,1,100,51.8,27.9,4.0,5,5.00
100,398,45,1,100,50.6,28.8,4.0,14,14.00
100,397,46,1,100,49.0,28.5,4.0,6,6.00
100,398,47,1,100,48.7,27.7,4.0,24,24.00
100,398,48,1,100,50.8,28.9,4.0,21,21.00
100,397,49,1,100,49.1,29.8,4.0,15,15.00
