n,seed,bw,lifo_err,fifo_err,delta_err,wmin,wmax
20,1,50,1,0,0,2,100
20,1,51,1,1,0,2,100
20,1,52,1,1,0,2,100
20,1,53,1,1,0,2,100
20,1,54,1,1,0,2,100
20,1,55,1,1,0,2,100
20,1,56,1,1,0,2,100
20,1,57,1,1,0,2,100
20,1,58,1,1,0,2,100
20,1,59,1,1,0,2,100
20,1,60,1,1,0,2,100
20,1,61,1,1,0,2,100
20,1,62,1,1,0,2,100
20,1,63,1,1,0,2,100
20,1,64,0,0,0,2,100
20,1,65,0,0,0,2,100
20,1,66,0,0,0,2,100
20,1,67,0,0,0,2,100
20,1,68,0,0,0,2,100
20,1,69,0,0,0,2,100
20,1,70,0,0,0,2,100
20,1,71,0,0,0,2,100
20,1,72,0,0,0,2,100
20,1,73,0,0,0,2,100
20,1,74,0,0,0,2,100
20,1,75,0,0,0,2,100
20,1,76,0,0,0,2,100
20,1,77,0,0,0,2,100
20,1,78,0,0,0,2,100
20,1,79,0,0,0,2,100
20,1,80,0,0,0,2,100
20,1,81,0,0,0,2,100
20,1,82,0,0,0,2,100
20,1,83,0,0,0,2,100
20,1,84,0,0,0,2,100
20,1,85,0,0,0,2,100
20,1,86,0,0,0,2,100
20,1,87,0,0,0,2,100
20,1,88,0,0,0,2,100
20,1,89,0,0,0,2,100
20,1,90,0,0,0,2,100
20,1,91,1,0,0,2,100
20,1,92,1,0,0,2,100
20,1,93,1,0,0,2,100
20,1,94,1,0,0,2,100
20,1,95,1,0,0,2,100
20,1,96,1,0,0,2,100
20,1,97,1,0,0,2,100
20,1,98,1,0,0,2,100
20,1,99,1,0,0,2,100
20,1,100,1,0,0,2,100
20,1,101,1,1,0,2,100
20,1,102,1,1,0,2,100
20,1,103,1,1,0,2,100
20,1,104,1,1,0,2,100
20,1,105,1,1,0,2,100
20,1,106,1,1,0,2,100
20,1,107,1,1,0,2,100
20,1,108,1,1,0,2,100
20,1,109,1,1,0,2,100
20,1,110,1,1,0,2,100
20,1,111,1,1,0,2,100
20,1,112,1,1,0,2,100
20,1,113,1,1,0,2,100
20,1,114,1,1,0,2,100
20,1,115,1,1,0,2,100
20,1,116,1,1,0,2,100
20,1,117,1,1,0,2,100
20,1,118,1,1,0,2,100
20,1,119,1,1,0,2,100
20,1,120,1,1,0,2,100
20,1,121,1,1,0,2,100
20,1,122,1,1,0,2,100
20,1,123,1,1,0,2,100
20,1,124,1,1,0,2,100
20,1,125,1,1,0,2,100
20,1,126,1,1,0,2,100
20,1,127,1,1,0,2,100
20,1,128,1,1,0,2,100
20,1,129,1,1,0,2,100
20,1,130,1,1,0,2,100
20,1,131,1,1,0,2,100
20,1,132,1,1,0,2,100
20,1,133,1,1,0,2,100
20,1,134,1,1,0,2,100
20,1,135,1,1,0,2,100
20,1,136,1,1,0,2,100
20,1,137,1,1,0,2,100
20,1,138,1,1,0,2,100
20,1,139,1,1,0,2,100
20,1,140,1,1,0,2,100
20,1,141,1,1,0,2,100
20,1,142,1,1,0,2,100
20,1,143,1,1,0,2,100
20,1,144,1,1,0,2,100
20,1,145,1,1,0,2,100
20,1,146,1,1,0,2,100
20,1,147,1,1,0,2,100
20,1,148,1,1,0,2,100
20,1,149,1,1,0,2,100
20,1,150,1,1,0,2,100
20,2,2,0,0,0,4,99
20,2,3,0,0,0,4,99
20,2,4,0,0,0,4,99
20,2,5,0,0,0,4,99
20,2,6,0,0,0,4,99
20,2,7,0,0,0,4,99
20,2,8,0,0,0,4,99
20,2,9,0,0,0,4,99
20,2,10,0,0,0,4,99
20,2,11,0,0,0,4,99
20,2,12,0,0,0,4,99
20,2,13,0,0,0,4,99
20,2,14,0,0,0,4,99
20,2,15,0,0,0,4,99
20,2,16,0,0,0,4,99
20,2,17,0,0,0,4,99
20,2,18,0,0,0,4,99
20,2,19,0,0,0,4,99
20,2,20,0,0,0,4,99
20,2,21,0,0,0,4,99
20,2,22,0,0,0,4,99
20,2,23,0,0,0,4,99
20,2,24,0,0,0,4,99
20,2,25,0,0,0,4,99
20,2,26,0,0,0,4,99
20,2,27,0,0,0,4,99
20,2,28,0,0,0,4,99
20,2,29,0,0,0,4,99
20,2,30,0,0,0,4,99
20,2,31,0,0,0,4,99
20,2,32,0,0,0,4,99
20,2,33,0,0,0,4,99
20,2,34,0,0,0,4,99
20,2,35,0,0,0,4,99
20,2,36,0,0,0,4,99
20,2,37,0,0,0,4,99
20,2,38,0,0,0,4,99
20,2,39,0,0,0,4,99
20,2,40,0,0,0,4,99
20,2,41,0,0,0,4,99
20,2,42,0,0,0,4,99
20,2,43,0,0,0,4,99
20,2,44,0,0,0,4,99
20,2,45,0,0,0,4,99
20,2,46,0,0,0,4,99
20,2,47,0,0,0,4,99
20,2,48,1,0,0,4,99
20,2,49,1,0,0,4,99
20,2,50,1,0,0,4,99
20,2,51,1,0,0,4,99
20,2,52,1,0,0,4,99
20,2,53,1,0,0,4,99
20,2,54,1,0,0,4,99
20,2,55,0,1,0,4,99
20,2,56,0,0,0,4,99
20,2,57,0,0,0,4,99
20,2,58,0,0,0,4,99
20,2,59,0,0,0,4,99
20,2,60,0,0,0,4,99
20,2,61,0,0,0,4,99
20,2,62,0,0,0,4,99
20,2,63,0,0,0,4,99
20,2,64,0,0,0,4,99
20,2,65,0,0,0,4,99
20,2,66,0,0,0,4,99
20,2,67,0,0,0,4,99
20,2,68,0,0,0,4,99
20,2,69,0,0,0,4,99
20,2,70,0,0,0,4,99
20,2,71,0,0,0,4,99
20,2,72,1,0,0,4,99
20,2,73,1,0,0,4,99
20,2,74,1,0,0,4,99
20,2,75,1,0,0,4,99
20,2,76,1,0,0,4,99
20,2,77,1,0,0,4,99
20,2,78,1,0,0,4,99
20,2,79,1,0,0,4,99
20,2,80,1,0,0,4,99
20,2,81,1,0,0,4,99
20,2,82,1,1,0,4,99
20,2,83,1,1,0,4,99
20,2,84,1,1,0,4,99
20,2,85,1,1,0,4,99
20,2,86,1,1,0,4,99
20,2,87,1,1,0,4,99
20,2,88,1,1,0,4,99
20,2,89,1,1,0,4,99
20,2,90,1,1,0,4,99
20,2,91,1,1,0,4,99
20,2,92,1,1,0,4,99
20,2,93,1,1,0,4,99
20,2,94,1,1,0,4,99
20,2,95,1,1,0,4,99
20,2,96,1,1,0,4,99
20,2,97,1,1,0,4,99
20,2,98,1,1,0,4,99
20,2,99,1,1,0,4,99
20,2,100,1,1,0,4,99
20,2,101,1,1,0,4,99
20,2,102,1,1,0,4,99
20,2,103,1,1,0,4,99
20,2,104,1,1,0,4,99
20,2,105,1,1,0,4,99
20,2,106,1,1,0,4,99
20,2,107,1,1,0,4,99
20,2,108,1,1,0,4,99
20,2,109,1,1,0,4,99
20,2,110,0,1,0,4,99
20,2,111,0,1,0,4,99
20,2,112,0,1,0,4,99
20,2,113,0,1,0,4,99
20,2,114,0,1,0,4,99
20,2,115,0,1,0,4,99
20,2,116,0,1,0,4,99
20,2,117,0,1,0,4,99
20,2,118,0,1,0,4,99
20,2,119,0,1,0,4,99
20,2,120,0,1,0,4,99
20,2,121,0,1,0,4,99
20,2,122,0,1,0,4,99
20,2,123,0,1,0,4,99
20,2,124,1,1,0,4,99
20,2,125,1,1,0,4,99
20,2,126,1,1,0,4,99
20,2,127,1,1,0,4,99
20,2,128,1,1,0,4,99
20,2,129,1,1,0,4,99
20,2,130,1,1,0,4,99
20,2,131,1,1,0,4,99
20,2,132,1,1,0,4,99
20,2,133,1,1,0,4,99
20,2,134,1,1,0,4,99
20,2,135,1,1,0,4,99
20,2,136,1,1,0,4,99
20,2,137,1,1,0,4,99
20,2,138,1,1,0,4,99
20,2,139,1,1,0,4,99
20,2,140,1,1,0,4,99
20,2,141,1,1,0,4,99
20,2,142,1,1,0,4,99
20,2,143,1,1,0,4,99
20,2,144,1,1,0,4,99
20,2,145,1,1,0,4,99
20,2,146,1,1,0,4,99
20,2,147,1,1,0,4,99
20,2,148,1,1,0,4,99
20,2,149,1,1,0,4,99
20,2,150,1,1,0,4,99
20,3,2,0,0,0,1,100
20,3,3,0,0,0,1,100
20,3,4,0,0,0,1,100
20,3,5,0,0,0,1,100
20,3,6,0,0,0,1,100
20,3,7,0,0,0,1,100
20,3,8,0,0,0,1,100
20,3,9,0,0,0,1,100
20,3,10,0,0,0,1,100
20,3,11,0,0,0,1,100
20,3,12,0,0,0,1,100
20,3,13,0,0,0,1,100
20,3,14,0,0,0,1,100
20,3,15,1,0,0,1,100
20,3,16,0,0,0,1,100
20,3,17,1,0,0,1,100
20,3,18,0,0,0,1,100
20,3,19,1,0,0,1,100
20,3,20,1,0,0,1,100
20,3,21,0,0,0,1,100
20,3,22,1,0,0,1,100
20,3,23,1,1,0,1,100
20,3,24,0,0,0,1,100
20,3,25,0,0,0,1,100
20,3,26,1,0,0,1,100
20,3,27,1,0,0,1,100
20,3,28,1,1,0,1,100
20,3,29,0,0,0,1,100
20,3,30,0,0,0,1,100
20,3,31,1,0,0,1,100
20,3,32,1,0,0,1,100
20,3,33,1,0,0,1,100
20,3,34,1,1,0,1,100
20,3,35,1,1,0,1,100
20,3,36,1,0,0,1,100
20,3,37,1,0,0,1,100
20,3,38,1,0,0,1,100
20,3,39,1,0,0,1,100
20,3,40,1,1,0,1,100
20,3,41,1,1,0,1,100
20,3,42,1,1,0,1,100
20,3,43,1,1,0,1,100
20,3,44,1,1,0,1,100
20,3,45,1,1,0,1,100
20,3,46,1,1,0,1,100
20,3,47,1,1,0,1,100
20,3,48,1,0,0,1,100
20,3,49,1,0,0,1,100
20,3,50,1,0,0,1,100
20,3,51,0,0,0,1,100
20,3,52,0,0,0,1,100
20,3,53,0,0,0,1,100
20,3,54,1,0,0,1,100
20,3,55,1,1,0,1,100
20,3,56,1,1,0,1,100
20,3,57,1,1,0,1,100
20,3,58,1,1,0,1,100
20,3,59,1,0,0,1,100
20,3,60,1,0,0,1,100
20,3,61,1,0,0,1,100
20,3,62,1,0,0,1,100
20,3,63,1,0,0,1,100
20,3,64,1,0,0,1,100
20,3,65,1,0,0,1,100
20,3,66,1,0,0,1,100
20,3,67,1,0,0,1,100
20,3,68,1,0,0,1,100
20,3,69,1,0,0,1,100
20,3,70,1,0,0,1,100
20,3,71,1,0,0,1,100
20,3,72,1,0,0,1,100
20,3,73,1,0,0,1,100
20,3,74,1,0,0,1,100
20,3,75,1,0,0,1,100
20,3,76,1,0,0,1,100
20,3,77,1,0,0,1,100
20,3,78,1,0,0,1,100
20,3,79,1,0,0,1,100
20,3,80,1,1,0,1,100
20,3,81,1,1,0,1,100
20,3,82,1,1,0,1,100
20,3,83,1,1,0,1,100
20,3,84,1,1,0,1,100
20,3,85,1,0,0,1,100
20,3,86,1,1,0,1,100
20,3,87,1,1,0,1,100
20,3,88,1,1,0,1,100
20,3,89,1,0,0,1,100
20,3,90,1,1,0,1,100
20,3,91,1,1,0,1,100
20,3,92,1,1,0,1,100
20,3,93,1,1,0,1,100
20,3,94,1,1,0,1,100
20,3,95,1,0,0,1,100
20,3,96,1,0,0,1,100
20,3,97,1,0,0,1,100
20,3,98,1,0,0,1,100
20,3,99,1,0,0,1,100
20,3,100,1,0,0,1,100
